Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Category,Chrome 70.0.3538.77,,2018-11-09 09:32:00,2018-11-09 09:33:27,1m - 27.559s,FAILED
,,,,,,
Test Cases/Category/AddCategory,Chrome 70.0.3538.77,,2018-11-09 09:32:00,2018-11-09 09:32:36,35.488s,PASSED
callTestCase,Chrome 70.0.3538.77,,2018-11-09 09:32:01,2018-11-09 09:32:08,6.929s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:32:08,2018-11-09 09:32:12,4.350s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:12,2018-11-09 09:32:14,2.011s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:32:14,2018-11-09 09:32:14,0.114s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:14,2018-11-09 09:32:16,2.000s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:32:16,2018-11-09 09:32:16,0.103s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:16,2018-11-09 09:32:18,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:32:18,2018-11-09 09:32:18,0.068s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:18,2018-11-09 09:32:20,2.001s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 09:32:20,2018-11-09 09:32:21,0.344s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:21,2018-11-09 09:32:23,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:32:23,2018-11-09 09:32:23,0.123s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:23,2018-11-09 09:32:25,2.000s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:32:25,2018-11-09 09:32:25,0.071s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:25,2018-11-09 09:32:27,2.000s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 09:32:27,2018-11-09 09:32:27,0.245s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:27,2018-11-09 09:32:29,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:32:29,2018-11-09 09:32:29,0.090s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:29,2018-11-09 09:32:31,2.001s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 09:32:31,2018-11-09 09:32:32,0.320s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:32,2018-11-09 09:32:34,2.002s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-09 09:32:34,2018-11-09 09:32:34,0.128s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:34,2018-11-09 09:32:36,2.001s,PASSED
,,,,,,
Test Cases/Category/EditCategory,Chrome 70.0.3538.77,,2018-11-09 09:32:36,2018-11-09 09:33:05,29.575s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:36,2018-11-09 09:32:38,2.001s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 09:32:38,2018-11-09 09:32:38,0.272s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:38,2018-11-09 09:32:40,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:32:40,2018-11-09 09:32:41,0.997s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:41,2018-11-09 09:32:43,2.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 09:32:43,2018-11-09 09:32:45,1.156s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.77,,2018-11-09 09:32:45,2018-11-09 09:32:47,2.000s,PASSED
