Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Course,Chrome 70.0.3538.110,,2018-12-04 17:37:17,2018-12-04 17:41:11,3m - 54.266s,FAILED
,,,,,,
Test Cases/Course/AddCourse,Chrome 70.0.3538.110,,2018-12-04 17:37:17,2018-12-04 17:37:40,22.666s,FAILED
callTestCase,Chrome 70.0.3538.110,,2018-12-04 17:37:18,2018-12-04 17:37:27,9.131s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 17:37:27,2018-12-04 17:37:40,13.000s,FAILED
,,,,,,
Test Cases/Course/GoToContent,Chrome 70.0.3538.110,,2018-12-04 17:37:40,2018-12-04 17:37:52,12.492s,FAILED
Statement - java.lang.Thread.sleep(4000),Chrome 70.0.3538.110,,2018-12-04 17:37:40,2018-12-04 17:37:44,4.007s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-04 17:37:44,2018-12-04 17:37:52,8.073s,FAILED
,,,,,,
Test Cases/Course/Manage Content/Section/AddChuyenDe,Chrome 70.0.3538.110,,2018-12-04 17:37:52,2018-12-04 17:38:06,14.027s,FAILED
Statement - java.lang.Thread.sleep(5000),Chrome 70.0.3538.110,,2018-12-04 17:37:53,2018-12-04 17:37:58,5.003s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 17:37:58,2018-12-04 17:38:06,8.065s,FAILED
,,,,,,
Test Cases/Course/Manage Content/Document/AddDocument,Chrome 70.0.3538.110,,2018-12-04 17:38:06,2018-12-04 17:38:20,13.491s,FAILED
Statement - java.lang.Thread.sleep(5000),Chrome 70.0.3538.110,,2018-12-04 17:38:07,2018-12-04 17:38:12,5.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 17:38:12,2018-12-04 17:38:20,8.053s,FAILED
,,,,,,
Test Cases/Course/Manage Content/Document/AddDocumentWithQuestion,Chrome 70.0.3538.110,,2018-12-04 17:38:20,2018-12-04 17:38:34,14.071s,FAILED
Statement - java.lang.Thread.sleep(5000),Chrome 70.0.3538.110,,2018-12-04 17:38:21,2018-12-04 17:38:26,5.017s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 17:38:26,2018-12-04 17:38:34,8.065s,FAILED
,,,,,,
Test Cases/Course/Manage Content/Document/AddDocumentWithTime,Chrome 70.0.3538.110,,2018-12-04 17:38:34,2018-12-04 17:38:48,13.516s,FAILED
Statement - java.lang.Thread.sleep(5000),Chrome 70.0.3538.110,,2018-12-04 17:38:35,2018-12-04 17:38:40,5.002s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 17:38:40,2018-12-04 17:38:48,8.035s,FAILED
