Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Exam,Chrome 71.0.3578.80,,2018-12-12 14:13:39,2018-12-12 14:18:38,4m - 59.365s,PASSED
,,,,,,
Test Cases/Examination/AddExam,Chrome 71.0.3578.80,,2018-12-12 14:13:40,2018-12-12 14:14:15,34.948s,PASSED
callTestCase,Chrome 71.0.3578.80,,2018-12-12 14:13:40,2018-12-12 14:13:48,7.881s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:13:48,2018-12-12 14:13:56,7.482s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:13:56,2018-12-12 14:13:58,2.009s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:13:58,2018-12-12 14:14:00,1.985s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:00,2018-12-12 14:14:02,2.001s,PASSED
setText,Chrome 71.0.3578.80,,2018-12-12 14:14:02,2018-12-12 14:14:02,0.361s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:02,2018-12-12 14:14:04,2.002s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:14:04,2018-12-12 14:14:04,0.099s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:04,2018-12-12 14:14:06,2.001s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:14:06,2018-12-12 14:14:06,0.125s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:06,2018-12-12 14:14:08,2.001s,PASSED
acceptAlert,Chrome 71.0.3578.80,,2018-12-12 14:14:08,2018-12-12 14:14:08,0.034s,PASSED
Statement - java.lang.Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 14:14:08,2018-12-12 14:14:12,4.002s,PASSED
setText,Chrome 71.0.3578.80,,2018-12-12 14:14:12,2018-12-12 14:14:13,0.312s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:13,2018-12-12 14:14:15,2.001s,PASSED
verifyTextPresent,Chrome 71.0.3578.80,,2018-12-12 14:14:15,2018-12-12 14:14:15,0.116s,PASSED
,,,,,,
Test Cases/Examination/EditExam,Chrome 71.0.3578.80,,2018-12-12 14:14:15,2018-12-12 14:15:33,1m - 18.255s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:14:15,2018-12-12 14:14:17,1.739s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:17,2018-12-12 14:14:19,2.001s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:14:19,2018-12-12 14:14:21,2.244s,PASSED
Statement - java.lang.Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 14:14:21,2018-12-12 14:14:25,4.000s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:14:25,2018-12-12 14:14:25,0.142s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:25,2018-12-12 14:14:27,2.001s,PASSED
setText,Chrome 71.0.3578.80,,2018-12-12 14:14:27,2018-12-12 14:14:27,0.305s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:27,2018-12-12 14:14:29,2.002s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:14:29,2018-12-12 14:14:30,0.300s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:30,2018-12-12 14:14:32,2.002s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:14:32,2018-12-12 14:14:32,0.127s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:32,2018-12-12 14:14:34,2.001s,PASSED
setText,Chrome 71.0.3578.80,,2018-12-12 14:14:34,2018-12-12 14:14:34,0.305s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:34,2018-12-12 14:14:36,2.001s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:14:36,2018-12-12 14:14:36,0.097s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:36,2018-12-12 14:14:38,2.002s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:14:38,2018-12-12 14:14:38,0.102s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:38,2018-12-12 14:14:40,2.001s,PASSED
click,Chrome 71.0.3578.80,,2018-12-12 14:14:40,2018-12-12 14:14:40,0.125s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 14:14:40,2018-12-12 14:14:42,2.002s,PASSED
setText,Chrome 71.0.3578.80,,2018-12-12 14:14:42,2018-12-12 14:14:43,0.360s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 71.0.3578.80,,2018-12-12 14:14:43,2018-12-12 14:14:46,3.001s,PASSED
