Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LearningPath,Chrome 71.0.3578.98,,2018-12-14 11:15:35,2018-12-14 11:20:23,4m - 48.051s,FAILED
,,,,,,
Test Cases/LearningPath/AddLeaningNotFrequent,Chrome 71.0.3578.98,,2018-12-14 11:15:36,2018-12-14 11:16:56,1m - 19.829s,PASSED
callTestCase,Chrome 71.0.3578.98,,2018-12-14 11:15:38,2018-12-14 11:15:49,11.377s,PASSED
maximizeWindow,Chrome 71.0.3578.98,,2018-12-14 11:15:49,2018-12-14 11:15:50,1.237s,PASSED
click,Chrome 71.0.3578.98,,2018-12-14 11:15:50,2018-12-14 11:15:54,3.815s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-14 11:15:54,2018-12-14 11:15:56,2.008s,PASSED
click,Chrome 71.0.3578.98,,2018-12-14 11:15:56,2018-12-14 11:15:58,2.125s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-14 11:15:58,2018-12-14 11:16:00,2.000s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-14 11:16:00,2018-12-14 11:16:02,1.757s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-14 11:16:02,2018-12-14 11:16:04,2.001s,PASSED
click,Chrome 71.0.3578.98,,2018-12-14 11:16:04,2018-12-14 11:16:05,0.505s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-14 11:16:05,2018-12-14 11:16:07,2.002s,PASSED
click,Chrome 71.0.3578.98,,2018-12-14 11:16:07,2018-12-14 11:16:07,0.170s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-14 11:16:07,2018-12-14 11:16:09,2.002s,PASSED
click,Chrome 71.0.3578.98,,2018-12-14 11:16:09,2018-12-14 11:16:09,0.162s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-14 11:16:09,2018-12-14 11:16:11,2.000s,PASSED
click,Chrome 71.0.3578.98,,2018-12-14 11:16:11,2018-12-14 11:16:11,0.131s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-14 11:16:11,2018-12-14 11:16:13,2.015s,PASSED
click,Chrome 71.0.3578.98,,2018-12-14 11:16:13,2018-12-14 11:16:13,0.137s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-14 11:16:13,2018-12-14 11:16:15,2.001s,PASSED
click,Chrome 71.0.3578.98,,2018-12-14 11:16:15,2018-12-14 11:16:15,0.094s,PASSED
