Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-08 16:32:32,2018-10-08 16:35:08,2m - 36.140s,FAILED
,,,,,,
Test Cases/AssignUserToCourse,Chrome 69.0.3497.100,,2018-10-08 16:32:32,2018-10-08 16:34:58,2m - 25.377s,FAILED
Statement - java.lang.Thread.sleep(30000),Chrome 69.0.3497.100,,2018-10-08 16:32:33,2018-10-08 16:33:03,30.005s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:33:03,2018-10-08 16:33:48,45.147s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 16:33:48,2018-10-08 16:33:48,0.163s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-08 16:33:48,2018-10-08 16:33:51,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:33:51,2018-10-08 16:33:52,1.047s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-08 16:33:52,2018-10-08 16:33:55,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:33:55,2018-10-08 16:33:55,0.087s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 16:33:55,2018-10-08 16:33:55,0.302s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-08 16:33:55,2018-10-08 16:33:58,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:33:58,2018-10-08 16:33:59,0.074s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:33:59,2018-10-08 16:33:59,0.089s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-08 16:33:59,2018-10-08 16:34:04,5.001s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-08 16:34:04,2018-10-08 16:34:04,0.077s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-08 16:34:04,2018-10-08 16:34:09,5.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:34:09,2018-10-08 16:34:10,0.970s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 16:34:10,2018-10-08 16:34:10,0.209s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-08 16:34:10,2018-10-08 16:34:10,0.069s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-08 16:34:10,2018-10-08 16:34:13,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:34:13,2018-10-08 16:34:14,1.189s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:34:14,2018-10-08 16:34:58,43.565s,FAILED
,,,,,,
Test Cases/UserInformation,Chrome 69.0.3497.100,,2018-10-08 16:34:58,2018-10-08 16:35:07,9.536s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-08 16:34:58,2018-10-08 16:35:07,9.254s,FAILED
