Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Message,Chrome 71.0.3578.98,,2018-12-15 12:49:23,2018-12-15 12:53:08,3m - 45.872s,FAILED
,,,,,,
Test Cases/Message/SendMessageForAllUser,Chrome 71.0.3578.98,,2018-12-15 12:49:23,2018-12-15 12:50:04,40.962s,PASSED
callTestCase,Chrome 71.0.3578.98,,2018-12-15 12:49:24,2018-12-15 12:49:40,16.676s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 12:49:40,2018-12-15 12:49:42,1.564s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 71.0.3578.98,,2018-12-15 12:49:42,2018-12-15 12:49:45,3.002s,PASSED
switchToWindowIndex,Chrome 71.0.3578.98,,2018-12-15 12:49:45,2018-12-15 12:49:45,0.021s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 71.0.3578.98,,2018-12-15 12:49:45,2018-12-15 12:49:45,0.018s,PASSED
verifyMatch,Chrome 71.0.3578.98,,2018-12-15 12:49:45,2018-12-15 12:49:45,0.005s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 12:49:45,2018-12-15 12:49:45,0.359s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 12:49:45,2018-12-15 12:49:47,2.002s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 12:49:47,2018-12-15 12:49:47,0.108s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 12:49:47,2018-12-15 12:49:49,2.001s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-15 12:49:49,2018-12-15 12:49:50,0.320s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 12:49:50,2018-12-15 12:49:52,2.000s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-15 12:49:52,2018-12-15 12:49:52,0.282s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 12:49:52,2018-12-15 12:49:54,2.001s,PASSED
uploadFile,Chrome 71.0.3578.98,,2018-12-15 12:49:54,2018-12-15 12:49:54,0.080s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 71.0.3578.98,,2018-12-15 12:49:54,2018-12-15 12:49:57,3.001s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 12:49:57,2018-12-15 12:49:57,0.111s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 12:49:57,2018-12-15 12:49:59,2.000s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-15 12:49:59,2018-12-15 12:50:00,0.717s,PASSED
