Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Report,Chrome 71.0.3578.98,,2018-12-15 11:31:47,2018-12-15 11:36:06,4m - 18.642s,PASSED
,,,,,,
Test Cases/Report/ReportBranch/OpenReportBranch,Chrome 71.0.3578.98,,2018-12-15 11:31:48,2018-12-15 11:32:42,54.498s,PASSED
callTestCase,Chrome 71.0.3578.98,,2018-12-15 11:31:48,2018-12-15 11:31:54,5.786s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:31:54,2018-12-15 11:31:59,4.536s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:31:59,2018-12-15 11:32:01,2.010s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 71.0.3578.98,,2018-12-15 11:32:01,2018-12-15 11:32:01,0.022s,PASSED
verifyMatch,Chrome 71.0.3578.98,,2018-12-15 11:32:01,2018-12-15 11:32:01,0.008s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:32:01,2018-12-15 11:32:03,1.859s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:32:03,2018-12-15 11:32:05,2.002s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:32:05,2018-12-15 11:32:06,1.206s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:32:06,2018-12-15 11:32:08,2.001s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:32:08,2018-12-15 11:32:09,0.925s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:32:09,2018-12-15 11:32:11,2.001s,PASSED
Statement - title1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 71.0.3578.98,,2018-12-15 11:32:11,2018-12-15 11:32:11,0.009s,PASSED
verifyMatch,Chrome 71.0.3578.98,,2018-12-15 11:32:11,2018-12-15 11:32:11,0.002s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:32:11,2018-12-15 11:32:13,2.001s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-15 11:32:13,2018-12-15 11:32:13,0.170s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:32:13,2018-12-15 11:32:15,2.000s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:32:15,2018-12-15 11:32:16,1.085s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:32:16,2018-12-15 11:32:18,2.001s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:32:18,2018-12-15 11:32:18,0.122s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:32:18,2018-12-15 11:32:20,2.001s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-15 11:32:20,2018-12-15 11:32:20,0.167s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:32:20,2018-12-15 11:32:22,2.001s,PASSED
verifyTextPresent,Chrome 71.0.3578.98,,2018-12-15 11:32:22,2018-12-15 11:32:22,0.125s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:32:22,2018-12-15 11:32:23,0.109s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-15 11:32:23,2018-12-15 11:32:25,2.000s,PASSED
click,Chrome 71.0.3578.98,,2018-12-15 11:32:25,2018-12-15 11:32:25,0.102s,PASSED
