Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User,Chrome 69.0.3497.100,,2018-10-12 15:55:27,2018-10-12 16:01:26,5m - 58.888s,PASSED
,,,,,,
Test Cases/Authentication/Fogot password,Chrome 69.0.3497.100,,2018-10-12 15:55:27,2018-10-12 15:55:42,14.284s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-12 15:55:28,2018-10-12 15:55:31,3.208s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-12 15:55:31,2018-10-12 15:55:32,1.064s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 15:55:32,2018-10-12 15:55:32,0.384s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-12 15:55:32,2018-10-12 15:55:35,3.006s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-12 15:55:35,2018-10-12 15:55:35,0.044s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 69.0.3497.100,,2018-10-12 15:55:35,2018-10-12 15:55:36,0.026s,PASSED
verifyMatch,Chrome 69.0.3497.100,,2018-10-12 15:55:36,2018-10-12 15:55:36,0.029s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 15:55:36,2018-10-12 15:55:36,0.300s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 15:55:36,2018-10-12 15:55:36,0.089s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-12 15:55:36,2018-10-12 15:55:41,5.001s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-12 15:55:41,2018-10-12 15:55:41,0.058s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-12 15:55:41,2018-10-12 15:55:42,0.702s,PASSED
,,,,,,
Test Cases/Authentication/Login,Chrome 69.0.3497.100,,2018-10-12 15:55:42,2018-10-12 15:55:52,9.821s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-12 15:55:42,2018-10-12 15:55:44,1.926s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-12 15:55:44,2018-10-12 15:55:45,0.934s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 15:55:45,2018-10-12 15:55:45,0.134s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 15:55:45,2018-10-12 15:55:45,0.113s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 15:55:45,2018-10-12 15:55:45,0.103s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 69.0.3497.100,,2018-10-12 15:55:45,2018-10-12 15:55:48,3.001s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-12 15:55:48,2018-10-12 15:55:48,0.014s,PASSED
